OrderID,Order Date,State Code,Warehouse,Distribution Channel,Order Quantity,Unit Price
SO - 0005267,08-02-2015,UT,AXW,Wholesale,15,34.24
SO - 0005381,23-07-2015,UT,AXW,Wholesale,47,6.88
SO - 0005416,12-11-2015,UT,AXW,Wholesale,50,13.96
SO - 0005582,07-01-2015,UT,AXW,Wholesale,38,16.14
SO - 0005619,28-01-2015,UT,AXW,Wholesale,18,164.38
SO - 0005689,05-12-2015,UT,AXW,Wholesale,15,25.38
SO - 0005836,03-08-2015,UT,AXW,Wholesale,27,30.52
SO - 0005865,06-02-2016,UT,AXW,Wholesale,44,16.20
SO - 0005895,28-06-2016,UT,AXW,Wholesale,17,65.29
SO - 0005984,09-11-2015,UT,AXW,Wholesale,27,26.73
SO - 0006008,23-01-2016,UT,AXW,Wholesale,52,30.33
SO - 0006020,17-09-2015,UT,AXW,Wholesale,17,11.33
SO - 0006046,03-11-2015,UT,AXW,Wholesale,37,51.46
SO - 0006228,04-04-2016,UT,AXW,Wholesale,43,18.84
SO - 0006307,13-07-2015,UT,AXW,Wholesale,29,26.73
SO - 0006328,09-05-2015,UT,AXW,Wholesale,35,56.55
SO - 0006331,09-04-2015,UT,AXW,Wholesale,42,63.55
SO - 0006417,16-05-2015,UT,AXW,Wholesale,38,14.91
SO - 0006426,24-02-2016,UT,AXW,Wholesale,27,31.09
SO - 0006478,30-05-2015,UT,AXW,Wholesale,32,14.61
SO - 0006544,28-04-2016,UT,AXW,Wholesale,29,31.92
SO - 0006562,13-04-2016,UT,AXW,Wholesale,41,62.38
SO - 0006600,23-12-2015,UT,AXW,Wholesale,26,93.84
SO - 0006619,12-06-2016,UT,AXW,Wholesale,23,83.31
SO - 0006869,25-06-2015,UT,AXW,Wholesale,16,17.26
SO - 0006945,21-10-2015,UT,AXW,Wholesale,33,19.23
SO - 0007144,15-10-2015,UT,AXW,Wholesale,37,31.58
SO - 0007168,27-03-2016,UT,AXW,Wholesale,48,63.13
SO - 0007279,30-05-2015,UT,AXW,Wholesale,18,17.23
SO - 0007658,04-12-2015,UT,AXW,Wholesale,29,25.67
SO - 0007674,08-01-2016,UT,AXW,Wholesale,43,15.94
SO - 0007900,31-03-2015,UT,AXW,Wholesale,37,27.05
SO - 0007910,25-02-2016,UT,AXW,Wholesale,42,15.97
SO - 0008073,28-04-2016,UT,AXW,Wholesale,21,19.06
SO - 000215,08-04-2015,CA,AXW,Wholesale,24,25.24
SO - 000335,19-03-2015,CA,AXW,Wholesale,40,13.03
SO - 000536,19-05-2015,CA,AXW,Wholesale,27,37.56
SO - 000837,12-11-2015,CA,AXW,Wholesale,25,60.86
SO - 000881,23-05-2015,CA,AXW,Wholesale,41,25.53
SO - 000916,10-12-2015,CA,AXW,Wholesale,20,77.11
SO - 000959,16-05-2015,CA,AXW,Wholesale,22,30.74
SO - 0001153,27-09-2015,CA,AXW,Wholesale,26,16.13
SO - 0001157,11-11-2015,CA,AXW,Wholesale,25,24.42
SO - 0001268,23-02-2016,CA,AXW,Wholesale,18,36.20
SO - 0001304,21-01-2016,CA,AXW,Wholesale,34,25.42
SO - 0001317,19-02-2016,CA,AXW,Wholesale,47,154.31
SO - 0001341,04-03-2016,CA,AXW,Wholesale,24,173.47
SO - 0001419,05-03-2016,CA,AXW,Wholesale,51,10.80
SO - 0001434,26-03-2016,CA,AXW,Wholesale,44,13.62
SO - 0001481,27-04-2016,CA,AXW,Wholesale,22,10.04
SO - 0001525,04-12-2015,CA,AXW,Wholesale,25,27.89
SO - 0001538,11-06-2016,CA,AXW,Wholesale,27,10.36
SO - 0001656,20-07-2015,CA,AXW,Wholesale,44,50.35
SO - 0001679,05-07-2015,CA,AXW,Wholesale,31,10.00
SO - 0001716,12-06-2015,CA,AXW,Wholesale,45,25.66
SO - 0001734,20-07-2015,CA,AXW,Wholesale,48,60.02
SO - 0001874,13-12-2015,CA,AXW,Wholesale,19,37.88
SO - 0001902,26-03-2015,CA,AXW,Wholesale,34,15.01
SO - 0001921,13-06-2016,CA,AXW,Wholesale,38,31.04
SO - 0002032,16-10-2015,CA,AXW,Wholesale,40,182.63
SO - 0002045,06-02-2016,CA,AXW,Wholesale,26,7.55
SO - 0002105,16-05-2015,CA,AXW,Wholesale,34,19.04
SO - 0002195,22-06-2016,CA,AXW,Wholesale,28,18.98
SO - 0002321,28-05-2016,CA,AXW,Wholesale,33,17.36
SO - 0002360,21-02-2016,CA,AXW,Wholesale,41,17.07
SO - 0002382,07-07-2015,CA,AXW,Wholesale,49,184.05
SO - 0002634,19-02-2016,CA,AXW,Wholesale,44,16.12
SO - 0002683,25-02-2015,CA,AXW,Wholesale,34,29.13
SO - 0002865,21-11-2015,CA,AXW,Wholesale,47,163.46
SO - 0002979,06-11-2015,CA,AXW,Wholesale,19,59.49
SO - 0003221,09-06-2015,CA,AXW,Wholesale,20,30.45
SO - 0003316,11-05-2016,CA,AXW,Wholesale,32,169.59
SO - 0003348,13-04-2015,CA,AXW,Wholesale,35,32.51
SO - 0003524,12-03-2015,CA,AXW,Wholesale,18,155.97
SO - 0003536,03-04-2016,CA,AXW,Wholesale,44,28.15
SO - 0003551,03-06-2016,CA,AXW,Wholesale,47,25.09
SO - 0003583,07-01-2016,CA,AXW,Wholesale,43,28.45
SO - 0003636,28-06-2015,CA,AXW,Wholesale,27,17.96
SO - 0003825,08-01-2015,CA,AXW,Wholesale,52,15.40
SO - 0003929,30-05-2015,CA,AXW,Wholesale,34,146.28
SO - 0003935,07-01-2015,CA,AXW,Wholesale,21,160.13
SO - 0003941,07-09-2015,CA,AXW,Wholesale,49,25.66
SO - 0003956,29-10-2015,CA,AXW,Wholesale,39,170.01
SO - 0004051,26-03-2016,CA,AXW,Wholesale,21,56.20
SO - 0004069,02-06-2015,CA,AXW,Wholesale,26,10.13
SO - 0004201,22-03-2016,CA,AXW,Wholesale,29,65.13
SO - 0004247,09-01-2016,CA,AXW,Wholesale,33,27.69
SO - 0004251,26-03-2015,CA,AXW,Wholesale,27,30.46
SO - 0004287,13-04-2015,CA,AXW,Wholesale,16,25.89
SO - 0004363,16-01-2015,CA,AXW,Wholesale,26,34.95
SO - 0004414,22-06-2016,CA,AXW,Wholesale,30,25.72
SO - 0004423,21-07-2015,CA,AXW,Wholesale,18,25.06
SO - 0004664,28-12-2015,CA,AXW,Wholesale,24,34.49
SO - 0004797,16-04-2016,CA,AXW,Wholesale,51,56.22
SO - 0004812,15-04-2015,CA,AXW,Wholesale,51,189.12
SO - 0004857,23-12-2015,CA,AXW,Wholesale,24,38.67
SO - 0004876,28-02-2015,CA,AXW,Wholesale,17,26.72
SO - 0004920,24-06-2016,CA,AXW,Wholesale,23,58.35
SO - 0004921,23-02-2016,CA,AXW,Wholesale,46,27.06
SO - 0004996,31-03-2016,CA,AXW,Wholesale,29,31.20
SO - 0005213,05-08-2015,CA,AXW,Wholesale,24,15.77
SO - 0005241,04-07-2015,CA,AXW,Wholesale,34,26.24
SO - 0005259,18-03-2016,CA,AXW,Wholesale,31,53.36
SO - 0005281,19-04-2015,CA,AXW,Wholesale,42,11.30
SO - 0005323,16-10-2015,CA,AXW,Wholesale,35,16.40
SO - 0005437,24-03-2015,CA,AXW,Wholesale,15,18.27
SO - 0005540,24-01-2016,CA,AXW,Wholesale,52,40.04
SO - 0005681,17-01-2016,CA,AXW,Wholesale,23,13.19
SO - 0005740,04-06-2016,CA,AXW,Wholesale,27,6.76
SO - 0005855,07-12-2015,CA,AXW,Wholesale,21,32.05
SO - 0005888,18-10-2015,CA,AXW,Wholesale,35,65.22
SO - 0006021,03-06-2016,CA,AXW,Wholesale,23,19.29
SO - 0006047,08-08-2015,CA,AXW,Wholesale,42,30.75
SO - 0006120,13-06-2016,CA,AXW,Wholesale,15,33.06
SO - 0006163,10-12-2015,CA,AXW,Wholesale,36,62.49
SO - 0006268,10-08-2015,CA,AXW,Wholesale,33,39.66
SO - 0006394,26-04-2015,CA,AXW,Wholesale,34,25.76
SO - 0006408,06-05-2015,CA,AXW,Wholesale,26,61.09
SO - 0006466,25-01-2015,CA,AXW,Wholesale,48,17.33
SO - 0006501,08-11-2015,CA,AXW,Wholesale,31,27.52
SO - 0006553,11-05-2016,CA,AXW,Wholesale,41,13.56
SO - 0006616,24-01-2015,CA,AXW,Wholesale,37,27.12
SO - 0006946,07-04-2015,CA,AXW,Wholesale,45,71.55
SO - 0006950,18-01-2016,CA,AXW,Wholesale,32,31.23
SO - 0006971,01-04-2016,CA,AXW,Wholesale,16,20.22
SO - 0007064,22-07-2015,CA,AXW,Wholesale,44,10.63
SO - 0007112,22-06-2016,CA,AXW,Wholesale,41,11.10
SO - 0007185,20-11-2015,CA,AXW,Wholesale,33,20.42
SO - 0007233,06-06-2016,CA,AXW,Wholesale,23,38.25
SO - 0007237,24-04-2015,CA,AXW,Wholesale,31,6.02
SO - 0007425,01-02-2016,CA,AXW,Wholesale,28,91.19
SO - 0007616,23-05-2015,CA,AXW,Wholesale,46,10.43
SO - 0007647,08-02-2016,CA,AXW,Wholesale,46,59.69
SO - 0007780,15-06-2015,CA,AXW,Wholesale,23,59.82
SO - 0007785,17-04-2016,CA,AXW,Wholesale,27,29.94
SO - 0007871,24-04-2015,CA,AXW,Wholesale,33,55.74
SO - 0007986,22-11-2015,CA,AXW,Wholesale,32,10.93
SO - 0008027,05-06-2015,CA,AXW,Wholesale,32,35.19
SO - 0008068,02-10-2015,CA,AXW,Wholesale,24,31.34
SO - 000357,20-08-2015,IN,AXW,Wholesale,22,25.02
SO - 000366,11-02-2015,IN,AXW,Wholesale,33,16.46
SO - 000515,10-03-2015,IN,AXW,Wholesale,36,52.89
SO - 000546,22-02-2015,IN,AXW,Wholesale,18,28.24
SO - 000555,21-02-2016,IN,AXW,Wholesale,25,55.89
SO - 000583,21-08-2015,IN,AXW,Wholesale,21,16.75
SO - 000594,20-06-2016,IN,AXW,Wholesale,44,35.29
SO - 000617,18-02-2015,IN,AXW,Wholesale,51,65.17
SO - 000827,30-11-2015,IN,AXW,Wholesale,23,24.96
SO - 000888,30-11-2015,IN,AXW,Wholesale,15,37.36
SO - 000962,24-11-2015,IN,AXW,Wholesale,41,182.64
SO - 000968,20-02-2015,IN,AXW,Wholesale,37,15.28
SO - 0001010,23-08-2015,IN,AXW,Wholesale,48,16.29
SO - 0001187,03-03-2016,IN,AXW,Wholesale,41,13.94
SO - 0001191,25-02-2015,IN,AXW,Wholesale,35,30.74
SO - 0001307,18-09-2015,IN,AXW,Wholesale,39,36.35
SO - 0001547,16-03-2015,IN,AXW,Wholesale,27,162.39
SO - 0001792,27-11-2015,IN,AXW,Wholesale,35,161.77
SO - 0001904,08-02-2015,IN,AXW,Wholesale,40,72.98
SO - 0001911,29-03-2015,IN,AXW,Wholesale,42,27.25
SO - 0001971,24-07-2015,IN,AXW,Wholesale,38,10.56
SO - 0002179,01-03-2016,IN,AXW,Wholesale,22,28.92
SO - 0002221,09-05-2016,IN,AXW,Wholesale,17,33.21
SO - 0002246,12-02-2016,IN,AXW,Wholesale,33,38.32
SO - 0002420,14-05-2015,IN,AXW,Wholesale,38,11.69
SO - 0002687,27-02-2015,IN,AXW,Wholesale,32,33.00
SO - 0002766,09-06-2015,IN,AXW,Wholesale,44,29.04
SO - 0002845,12-03-2016,IN,AXW,Wholesale,45,27.67
SO - 0002971,20-08-2015,IN,AXW,Wholesale,26,7.77
SO - 0003321,13-03-2016,IN,AXW,Wholesale,52,35.52
SO - 0003342,14-01-2015,IN,AXW,Wholesale,41,30.29
SO - 0003375,22-07-2015,IN,AXW,Wholesale,49,14.24
SO - 0003382,29-02-2016,IN,AXW,Wholesale,31,15.65
SO - 0003774,07-10-2015,IN,AXW,Wholesale,37,29.36
SO - 0004031,03-06-2015,IN,AXW,Wholesale,35,7.22
SO - 0004094,27-04-2016,IN,AXW,Wholesale,35,7.78
SO - 0004136,16-05-2016,IN,AXW,Wholesale,46,163.86
SO - 0004138,24-01-2016,IN,AXW,Wholesale,32,17.55
SO - 0004221,10-05-2015,IN,AXW,Wholesale,34,11.07
SO - 0004275,15-05-2015,IN,AXW,Wholesale,36,11.44
SO - 0004353,19-04-2016,IN,AXW,Wholesale,30,40.18
SO - 0004380,10-04-2016,IN,AXW,Wholesale,20,30.00
SO - 0004480,19-06-2015,IN,AXW,Wholesale,27,52.07
SO - 0004499,10-04-2015,IN,AXW,Wholesale,29,26.23
SO - 0004827,26-12-2015,IN,AXW,Wholesale,44,58.20
SO - 0004889,02-11-2015,IN,AXW,Wholesale,40,10.47
SO - 0005108,26-10-2015,IN,AXW,Wholesale,22,7.41
SO - 0005266,17-04-2015,IN,AXW,Wholesale,47,79.62
SO - 0005310,11-02-2016,IN,AXW,Wholesale,17,40.80
SO - 0005365,29-06-2016,IN,AXW,Wholesale,15,27.64
SO - 0005377,12-05-2015,IN,AXW,Wholesale,33,85.06
SO - 0005626,24-01-2016,IN,AXW,Wholesale,50,16.22
SO - 0005716,19-03-2015,IN,AXW,Wholesale,43,38.98
SO - 0005768,07-02-2016,IN,AXW,Wholesale,27,151.54
SO - 0005956,24-05-2015,IN,AXW,Wholesale,48,26.76
SO - 0006063,17-02-2016,IN,AXW,Wholesale,26,84.19
SO - 0006081,09-09-2015,IN,AXW,Wholesale,47,84.68
SO - 0006117,01-02-2015,IN,AXW,Wholesale,28,14.52
SO - 0006180,08-12-2015,IN,AXW,Wholesale,51,32.04
SO - 0006251,05-04-2015,IN,AXW,Wholesale,18,18.47
SO - 0006371,05-04-2016,IN,AXW,Wholesale,52,25.95
SO - 0006374,10-04-2015,IN,AXW,Wholesale,39,17.62
SO - 0006575,04-02-2015,IN,AXW,Wholesale,35,34.42
SO - 0006752,07-11-2015,IN,AXW,Wholesale,23,18.59
SO - 0006837,10-04-2016,IN,AXW,Wholesale,29,34.19
SO - 0006880,04-12-2015,IN,AXW,Wholesale,25,69.36
SO - 0006888,31-01-2015,IN,AXW,Wholesale,48,36.20
SO - 0006912,01-08-2015,IN,AXW,Wholesale,30,19.51
SO - 0007003,02-11-2015,IN,AXW,Wholesale,22,171.88
SO - 0007013,17-10-2015,IN,AXW,Wholesale,15,12.65
SO - 0007019,29-12-2015,IN,AXW,Wholesale,48,16.11
SO - 0007067,09-12-2015,IN,AXW,Wholesale,50,60.64
SO - 0007094,26-05-2016,IN,AXW,Wholesale,40,7.26
SO - 0007107,22-04-2016,IN,AXW,Wholesale,23,54.13
SO - 0007206,17-07-2015,IN,AXW,Wholesale,43,161.19
SO - 0007390,08-06-2016,IN,AXW,Wholesale,18,31.93
SO - 0007539,22-12-2015,IN,AXW,Wholesale,31,36.52
SO - 0007591,26-08-2015,IN,AXW,Wholesale,32,160.40
SO - 0007641,16-12-2015,IN,AXW,Wholesale,43,19.15
SO - 0007670,01-05-2016,IN,AXW,Wholesale,35,11.46
SO - 0007941,10-12-2015,IN,AXW,Wholesale,35,30.32
SO - 0007958,12-02-2015,IN,AXW,Wholesale,15,34.98
SO - 0007987,19-06-2015,IN,AXW,Wholesale,18,17.67
SO - 0008008,26-02-2016,IN,AXW,Wholesale,47,10.78
SO - 0008050,15-04-2015,IN,AXW,Wholesale,18,81.26
SO - 0008097,19-07-2015,IN,AXW,Wholesale,46,12.25
SO - 000164,20-06-2015,MO,AXW,Wholesale,41,17.71
SO - 000255,02-10-2015,MO,AXW,Wholesale,44,32.39
SO - 000412,02-03-2015,MO,AXW,Wholesale,37,15.21
SO - 000455,24-06-2015,MO,AXW,Wholesale,36,77.54
SO - 000592,08-10-2015,MO,AXW,Wholesale,20,29.08
SO - 000708,26-09-2015,MO,AXW,Wholesale,27,34.69
SO - 000969,20-08-2015,MO,AXW,Wholesale,35,178.38
SO - 0001209,29-06-2015,MO,AXW,Wholesale,37,68.06
SO - 0001238,30-10-2015,MO,AXW,Wholesale,41,61.25
SO - 0001275,22-02-2015,MO,AXW,Wholesale,47,62.18
SO - 0001347,08-01-2016,MO,AXW,Wholesale,42,32.35
SO - 0001393,24-05-2015,MO,AXW,Wholesale,27,6.70
SO - 0001433,23-04-2015,MO,AXW,Wholesale,25,24.55
SO - 0001443,02-03-2015,MO,AXW,Wholesale,25,17.14
SO - 0001650,14-04-2016,MO,AXW,Wholesale,30,34.57
SO - 0001687,28-06-2016,MO,AXW,Wholesale,32,31.64
SO - 0001810,02-04-2016,MO,AXW,Wholesale,31,82.63
SO - 0001864,05-02-2015,MO,AXW,Wholesale,40,65.52
SO - 0001964,26-11-2015,MO,AXW,Wholesale,18,84.50
SO - 0002016,21-03-2015,MO,AXW,Wholesale,52,36.69
SO - 0002075,10-06-2016,MO,AXW,Wholesale,20,28.15
SO - 0002091,20-02-2015,MO,AXW,Wholesale,39,173.00
SO - 0002134,14-05-2015,MO,AXW,Wholesale,49,31.56
SO - 0002301,22-04-2015,MO,AXW,Wholesale,36,17.97
SO - 0002329,13-03-2015,MO,AXW,Wholesale,27,24.45
SO - 0002334,28-06-2016,MO,AXW,Wholesale,35,16.80
SO - 0002517,09-09-2015,MO,AXW,Wholesale,29,28.03
SO - 0002664,27-08-2015,MO,AXW,Wholesale,21,16.38
SO - 0002666,31-01-2016,MO,AXW,Wholesale,49,10.13
SO - 0002691,22-03-2015,MO,AXW,Wholesale,43,18.59
SO - 0002743,17-03-2016,MO,AXW,Wholesale,38,18.50
SO - 0002755,17-04-2015,MO,AXW,Wholesale,48,26.41
SO - 0002784,17-09-2015,MO,AXW,Wholesale,40,39.03
SO - 0002964,01-02-2016,MO,AXW,Wholesale,16,29.93
SO - 0003422,11-12-2015,MO,AXW,Wholesale,18,18.94
SO - 0003538,04-01-2016,MO,AXW,Wholesale,30,52.19
SO - 0003697,26-05-2015,MO,AXW,Wholesale,29,187.31
SO - 0003822,17-01-2016,MO,AXW,Wholesale,16,25.96
SO - 0003980,15-01-2015,MO,AXW,Wholesale,35,7.14
SO - 0004017,02-08-2015,MO,AXW,Wholesale,30,16.29
SO - 0004143,03-02-2016,MO,AXW,Wholesale,45,61.07
SO - 0004249,19-05-2015,MO,AXW,Wholesale,21,18.67
SO - 0004267,18-01-2016,MO,AXW,Wholesale,32,27.77
SO - 0004274,10-11-2015,MO,AXW,Wholesale,38,37.63
SO - 0004444,05-02-2016,MO,AXW,Wholesale,27,18.75
SO - 0004445,23-05-2015,MO,AXW,Wholesale,26,37.36
SO - 0004539,23-07-2015,MO,AXW,Wholesale,27,14.88
SO - 0004730,18-09-2015,MO,AXW,Wholesale,23,40.12
SO - 0004733,07-11-2015,MO,AXW,Wholesale,35,38.52
SO - 0004862,01-02-2015,MO,AXW,Wholesale,32,190.97
SO - 0004910,25-04-2016,MO,AXW,Wholesale,31,26.02
SO - 0005099,25-05-2015,MO,AXW,Wholesale,47,26.22
SO - 0005126,17-05-2016,MO,AXW,Wholesale,51,68.39
SO - 0005163,04-01-2016,MO,AXW,Wholesale,18,61.05
SO - 0005175,19-12-2015,MO,AXW,Wholesale,36,12.46
SO - 0005199,12-06-2016,MO,AXW,Wholesale,19,26.93
SO - 0005223,16-01-2015,MO,AXW,Wholesale,41,11.55
SO - 0005296,24-06-2015,MO,AXW,Wholesale,43,85.49
SO - 0005301,09-03-2016,MO,AXW,Wholesale,51,35.94
SO - 0005494,14-03-2016,MO,AXW,Wholesale,29,58.59
SO - 0005548,16-02-2016,MO,AXW,Wholesale,45,25.80
SO - 0005553,23-04-2015,MO,AXW,Wholesale,15,27.16
SO - 0005561,20-09-2015,MO,AXW,Wholesale,36,29.98
SO - 0005654,17-03-2015,MO,AXW,Wholesale,38,25.55
SO - 0005682,15-04-2016,MO,AXW,Wholesale,35,30.28
SO - 0005712,27-10-2015,MO,AXW,Wholesale,52,35.60
SO - 0005994,15-05-2015,MO,AXW,Wholesale,52,18.86
SO - 0006004,06-10-2015,MO,AXW,Wholesale,18,27.65
SO - 0006253,01-03-2015,MO,AXW,Wholesale,43,34.19
SO - 0006339,06-02-2015,MO,AXW,Wholesale,38,28.61
SO - 0006468,25-11-2015,MO,AXW,Wholesale,51,11.44
SO - 0006578,05-06-2015,MO,AXW,Wholesale,27,26.90
SO - 0006677,19-06-2015,MO,AXW,Wholesale,52,26.62
SO - 0006689,24-04-2016,MO,AXW,Wholesale,26,13.79
SO - 0006693,20-01-2016,MO,AXW,Wholesale,46,24.93
SO - 0006847,20-08-2015,MO,AXW,Wholesale,22,26.13
SO - 0007050,09-04-2015,MO,AXW,Wholesale,21,10.25
SO - 0007466,25-03-2015,MO,AXW,Wholesale,41,25.75
SO - 0007558,28-07-2015,MO,AXW,Wholesale,39,26.41
SO - 0007572,09-04-2016,MO,AXW,Wholesale,46,14.57
SO - 0007966,10-08-2015,MO,AXW,Wholesale,41,30.25
SO - 0007975,04-12-2015,MO,AXW,Wholesale,52,16.66
SO - 000118,24-01-2016,OR,AXW,Wholesale,36,35.91
SO - 000158,20-04-2015,OR,AXW,Wholesale,41,10.46
SO - 000225,20-02-2015,OR,AXW,Wholesale,42,7.12
SO - 000246,19-02-2015,OR,AXW,Wholesale,30,25.22
SO - 000394,01-03-2015,OR,AXW,Wholesale,39,7.31
SO - 000607,09-11-2015,OR,AXW,Wholesale,30,25.82
SO - 000829,30-05-2015,OR,AXW,Wholesale,40,39.12
SO - 0001061,19-09-2015,OR,AXW,Wholesale,19,51.14
SO - 0001310,13-09-2015,OR,AXW,Wholesale,22,14.16
SO - 0001454,22-02-2016,OR,AXW,Wholesale,39,26.84
SO - 0001491,17-02-2016,OR,AXW,Wholesale,48,35.47
SO - 0001540,20-09-2015,OR,AXW,Wholesale,41,66.17
SO - 0001597,10-05-2016,OR,AXW,Wholesale,52,13.98
SO - 0001707,23-10-2015,OR,AXW,Wholesale,27,7.53
SO - 0001733,06-05-2015,OR,AXW,Wholesale,33,29.46
SO - 0001847,29-07-2015,OR,AXW,Wholesale,43,38.43
SO - 0002007,13-10-2015,OR,AXW,Wholesale,33,29.34
SO - 0002113,22-10-2015,OR,AXW,Wholesale,25,7.74
SO - 0002186,05-10-2015,OR,AXW,Wholesale,38,55.83
SO - 0002213,03-03-2015,OR,AXW,Wholesale,17,36.61
SO - 0002239,05-12-2015,OR,AXW,Wholesale,31,6.56
SO - 0002288,13-05-2015,OR,AXW,Wholesale,23,27.42
SO - 0002476,08-03-2016,OR,AXW,Wholesale,16,65.29
SO - 0002505,13-02-2016,OR,AXW,Wholesale,23,56.16
SO - 0002670,28-02-2016,OR,AXW,Wholesale,37,11.80
SO - 0002685,01-03-2015,OR,AXW,Wholesale,43,64.64
SO - 0002736,16-04-2016,OR,AXW,Wholesale,28,19.01
